Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,470nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,120.900000,-72.500000,270.000000,top
C2,1uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,164.200000,-71.325000,90.000000,top
C3,1uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,158.400000,-71.425000,90.000000,top
C4,1uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,168.800000,-54.300000,180.000000,top
C5,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,145.050000,-83.250000,270.000000,top
C6,22nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,146.125000,-85.800000,180.000000,top
C7,1uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,168.700000,-60.200000,180.000000,top
C8,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,138.800000,-64.475000,90.000000,top
C9,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,131.900000,-59.000000,90.000000,top
C10,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,146.025000,-88.100000,0.000000,top
C11,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,139.500000,-56.575000,90.000000,top
C12,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,139.400000,-53.025000,270.000000,top
C13,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,149.600000,-53.025000,270.000000,top
C14,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,158.700000,-86.525000,270.000000,top
J1,battery,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,175.200000,-71.800000,270,top
J2,Screw_Terminal_01x02,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",115.700000,-82.200000,270.000000,top
J3,Conn_01x07_Female,PinSocket_1x07_P2.54mm_Vertical,171.900000,-81.900000,270,top
J4,Conn_01x02_Male_2.54mm,PinHeader_1x02_P2.54mm_Vertical,124.000000,-93.500000,270,top
J5,Conn_01x02_Male_2.54mm,PinHeader_1x02_P2.54mm_Vertical,127.100000,-81.300000,270,top
J7,Conn_01x06_SPI,JST_B6B-ZR(LF)(SN),177.500000,-81.300000,90.000000,top
J8,USB_C_KoreanHroparts_6P,USB-C-KoreanHroparts,175.300000,-57.000000,0,top
J10,Conn_01x03_Male,PinHeader_1x03_P2.54mm_Vertical,158.500000,-60.000000,270,top
J11,Conn_01x03_Male,PinHeader_1x03_P2.54mm_Vertical,136.100000,-82.900000,90,top
J12,Conn_01x03_Male,PinHeader_1x03_P2.54mm_Vertical,136.100000,-86.800000,270,top
J13,Conn_01x03_Male,PinHeader_1x03_P2.54mm_Vertical,127.600000,-73.400000,0,top
J14,Conn_01x03_Female,PinSocket_1x03_P2.54mm_Vertical,153.400000,-55.400000,90,top
J15,Conn_01x02_Male_2.54mm,PinHeader_1x02_P2.54mm_Vertical,145.800000,-62.400000,270,top
J16,Conn_01x02_Male_2.54mm,PinHeader_1x02_P2.54mm_Vertical,142.000000,-62.400000,270,top
R1,10K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,124.000000,-89.625000,270.000000,top
R2,10,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,161.475000,-87.500000,0.000000,top
R3,10,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,130.425000,-64.700000,180.000000,top
R4,10K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,136.200000,-67.700000,180.000000,top
R5,100K_0.1%,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,124.000000,-85.800000,90.000000,top
R6,10K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,132.525000,-67.700000,180.000000,top
R7,DNF,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,127.125000,-56.000000,0.000000,top
R8,100,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,136.675000,-55.700000,180.000000,top
R9,1M_0.1%,R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,130.200000,-77.812500,90.000000,top
R10,1M_0.1%,R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,130.100000,-91.912500,90.000000,top
R11,5K_0.1%,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,130.200000,-86.675000,270.000000,top
R12,75K_0.1%,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,130.175000,-82.700000,270.000000,top
R13,1M_0.1%,R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,123.900000,-81.112500,90.000000,top
R14,100,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,141.750000,-84.500000,180.000000,top
R15,100,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,136.700000,-57.600000,180.000000,top
R16,100,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,141.775000,-82.600000,180.000000,top
U1,REF3025,SOT-23,123.600000,-73.300000,180,top
U2,CS5530-ISZ,SSOP-20_5.3x7.2mm_P0.65mm,152.700000,-87.200000,270,top
U3,LP5907MFX-4.5,SOT-23-5,168.700000,-57.200000,90,top
U4,LP5907MFX-3.3,SOT-23-5,161.400000,-70.400000,0,top
U5,AD623,SOIC-8_3.9x4.9mm_P1.27mm,127.000000,-60.600000,270,top
U6,LMP7715,TSOT-23-5,135.590000,-64.450000,180,top
U7,CS1237,SOP-8_3.9x4.9mm_P1.27mm,144.490000,-54.620000,270,top
Y1,Crystal 4.9152MHz,Crystal_X49SM49152MSD2SC,149.700000,-93.900000,0.000000,top
