Ref,Val,Package,PosX,PosY,Rot,Side
"C1","47uF_1210_16V","C_1210_3225Metric_Pad1.42x2.65mm_HandSolder",124.312500,-65.300000,0.000000,top
"D2","C2297","D_0805_2012Metric_Castellated",120.400000,-72.862500,90.000000,top
"D3","19-217/GHC-YR1S2/3T","D_0603_1608Metric",123.500000,-73.387500,90.000000,top
"J1","MMCX-KE-STM","MMCX-SMD_KH-MMCX-KE-STM",136.800000,-68.400000,0.000000,top
"J2","MMCX-KE-STM","MMCX-SMD_KH-MMCX-KE-STM",136.800000,-78.600000,0.000000,top
"J3","MMCX-KE-STM","MMCX-SMD_KH-MMCX-KE-STM",115.000000,-64.000000,0.000000,top
"J4","MMCX-KE-STM","MMCX-SMD_KH-MMCX-KE-STM",129.500000,-63.900000,0.000000,top
"Q1","MMBT3906","SOT-23",131.100000,-72.700000,90.000000,top
"Q2","MMBT2222A","SOT-23",131.100000,-78.500000,0.000000,top
"Q3","BC847C","SOT-23",119.500000,-63.150000,180.000000,top
"R1","75","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",126.100000,-78.625000,270.000000,top
"R2","1K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",119.425000,-66.200000,180.000000,top
"R3","300","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",132.900000,-68.500000,0.000000,top
"R4","1K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",131.025000,-75.400000,180.000000,top
"R5","1K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",128.100000,-78.575000,270.000000,top
