Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Conn_01x02_Male_2.54mm","PinHeader_1x02_P2.54mm_Vertical",-38.500000,-15.700000,270.000000,top
"J2","Conn_01x02_Male_2.54mm","PinHeader_1x02_P2.54mm_Vertical",-41.000000,-8.800000,180.000000,top
"J3","Conn_01x02_Male_2.54mm","PinHeader_1x02_P2.54mm_Vertical",-9.400000,-16.500000,180.000000,top
"J4","Conn_01x02_Male_2.54mm","PinHeader_1x02_P2.54mm_Vertical",-9.600000,-2.800000,0.000000,top
"J12","Conn_01x02_Male_2.54mm","PinHeader_1x02_P2.54mm_Vertical",-32.100000,-4.300000,180.000000,top
"Q1","BSS84","SOT-23",-30.300000,-11.100000,0.000000,top
"Q2","2N7002","SOT-23",-34.100000,-11.100000,0.000000,top
"R1","200","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-27.800000,-7.500000,0.000000,top
"R2","200","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-26.500000,-3.600000,90.000000,top
"R3","200","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-28.025000,-21.700000,180.000000,top
"R4","200","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-26.400000,-17.825000,270.000000,top
"U1","AQW212EHAX","SMD-8_L9.8-W6.4-P2.54-LS10.0-BL",-19.491000,-3.624999,270.000000,top
"U2","AQW212EHAX","SMD-8_L9.8-W6.4-P2.54-LS10.0-BL",-19.500000,-17.800000,270.000000,top
