Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,470nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,120.900000,-72.500000,270.000000,top
C2,1uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,164.200000,-71.325000,90.000000,top
C3,1uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,158.400000,-71.425000,90.000000,top
C4,1uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,168.800000,-54.300000,180.000000,top
C5,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,145.050000,-83.250000,270.000000,top
C6,22nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,146.125000,-85.800000,180.000000,top
C7,1uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,168.700000,-60.200000,180.000000,top
C8,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,120.175000,-109.700000,180.000000,top
C9,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,120.200000,-116.500000,180.000000,top
C10,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,146.025000,-88.100000,0.000000,top
C11,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,139.500000,-56.575000,90.000000,top
C12,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,139.400000,-53.025000,270.000000,top
C13,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,149.600000,-53.025000,270.000000,top
C14,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,158.700000,-86.525000,270.000000,top
C15,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,144.625000,-112.800000,180.000000,top
C16,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,144.600000,-106.200000,180.000000,top
C17,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,158.500000,-103.075000,270.000000,top
C18,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,152.075000,-111.100000,180.000000,top
C19,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,117.275000,-62.900000,180.000000,top
C20,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,113.175000,-63.100000,180.000000,top
C21,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,114.225000,-53.200000,0.000000,top
J1,battery,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,175.200000,-71.800000,270,top
J2,Screw_Terminal_01x02,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",115.700000,-82.200000,270.000000,top
J3,Conn_01x07_Female,PinSocket_1x07_P2.54mm_Vertical,171.900000,-81.900000,270,top
J4,Conn_01x02_Male_2.54mm,PinHeader_1x02_P2.54mm_Vertical,123.000000,-93.600000,270,top
