Ref,Val,Package,PosX,PosY,Rot,Side
"C2","1uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",164.200000,-68.325000,90.000000,top
"C3","1uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",158.400000,-68.425000,90.000000,top
"C4","1uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",198.800000,-54.300000,180.000000,top
"C5","1uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",132.700000,-60.900000,90.000000,top
"C6","1uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",138.400000,-61.000000,90.000000,top
"C7","1uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",198.700000,-60.200000,180.000000,top
"C8","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",185.300000,-84.500000,90.000000,top
"C10","1uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",123.600000,-60.900000,90.000000,top
"C11","1uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",129.900000,-60.900000,90.000000,top
"C12","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",197.475000,-105.605000,90.000000,top
"C13","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",197.275000,-101.505000,90.000000,top
"C14","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",207.175000,-102.555000,270.000000,top
"C15","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",183.200000,-105.500000,0.000000,top
"C16","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",193.600000,-100.800000,270.000000,top
"C17","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",187.525000,-107.800000,0.000000,top
"C19","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",192.600000,-85.275000,90.000000,top
"C20","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",192.400000,-81.175000,90.000000,top
"C21","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",202.300000,-82.225000,270.000000,top
"D1","LBAT54HT1G","D_SOD-323",172.200000,-71.600000,0.000000,top
"D2","LBAT54HT1G","D_SOD-323",172.200000,-69.200000,0.000000,top
"J1","battery","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",176.600000,-69.200000,90.000000,top
"J2","Conn_01x02_Male_2.54mm","PinHeader_1x02_P2.54mm_Vertical",124.000000,-82.000000,0.000000,top
"J3","DB9_Female_MountingHoles","DSUB-TH_DS1037-09FNAKT74-0CC",116.400000,-87.400000,180.000000,top
"J4","Conn_01x02_Male_2.54mm","PinHeader_1x02_P2.54mm_Vertical",131.000000,-93.600000,90.000000,top
"J5","Conn_01x02_Male_2.54mm","PinHeader_1x02_P2.54mm_Vertical",143.000000,-81.400000,0.000000,top
"J7","Conn_01x03_Female","PinSocket_1x03_P2.54mm_Vertical",207.400000,-109.600000,0.000000,top
"J8","USB_C_KoreanHroparts_6P","USB-C-KoreanHroparts",205.300000,-57.000000,90.000000,top
"J10","Conn_01x03_Male","PinHeader_1x03_P2.54mm_Vertical",158.500000,-57.000000,0.000000,top
"J11","Conn_01x02_Male_2.54mm","PinHeader_1x02_P2.54mm_Vertical",124.000000,-96.000000,180.000000,top
"J12","Conn_01x02_Male_2.54mm","PinHeader_1x02_P2.54mm_Vertical",148.100000,-61.600000,90.000000,top
"J13","Conn_01x02_Male_2.54mm","PinHeader_1x02_P2.54mm_Vertical",190.900000,-97.000000,90.000000,top
"J14","Conn_01x02_Male_2.54mm","PinHeader_1x02_P2.54mm_Vertical",170.400000,-92.000000,90.000000,top
"J15","Conn_01x02_Male_2.54mm","PinHeader_1x02_P2.54mm_Vertical",169.900000,-114.100000,90.000000,top
"J16","Conn_01x03_Male","PinHeader_1x03_P2.54mm_Vertical",130.000000,-67.000000,90.000000,top
"J21","Conn_01x02_Male_2.54mm","PinHeader_1x02_P2.54mm_Vertical",131.000000,-98.000000,90.000000,top
"J22","Conn_01x03_Female","PinSocket_1x03_P2.54mm_Vertical",206.700000,-86.400000,0.000000,top
"Q1","BSS84","SOT-23",159.150000,-91.650000,0.000000,top
"Q2","2N7002","SOT-23",163.600000,-91.650000,0.000000,top
"Q3","BSS84","SOT-23",157.950000,-114.870000,0.000000,top
"Q4","2N7002","SOT-23",162.400000,-114.870000,0.000000,top
"Q5","BSS84","SOT-23",146.900000,-108.000000,270.000000,top
"Q6","2N7002","SOT-23",146.900000,-104.100000,270.000000,top
"R1","10K 0.1%","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",131.000000,-89.625000,270.000000,top
"R2","1K 0.1%","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",128.000000,-89.125000,270.000000,top
"R3","200","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",156.400000,-88.000000,270.000000,top
"R4","200","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",160.100000,-87.600000,180.000000,top
"R5","100K_0.1%","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",131.000000,-85.800000,90.000000,top
"R6","200","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",167.700000,-88.300000,90.000000,top
"R7","200","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",171.325000,-87.300000,0.000000,top
"R8","100","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",194.700000,-104.630000,180.000000,top
"R9","1M_0.1%","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",137.200000,-77.812500,90.000000,top
"R10","1M_0.1%","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",137.100000,-91.912500,90.000000,top
"R11","5K_0.1%","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",137.200000,-86.675000,270.000000,top
"R12","75K_0.1%","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",137.175000,-82.700000,270.000000,top
"R13","1M_0.1%","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",130.900000,-81.112500,90.000000,top
