Ref,Val,Package,PosX,PosY,Rot,Side
"C1","470nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",128.300000,-84.375000,90.000000,top
"C2","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",151.600000,-62.600000,90.000000,top
"C3","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",155.200000,-75.025000,90.000000,top
"C4","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",155.100000,-88.200000,90.000000,top
"C5","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",165.100000,-62.900000,90.000000,top
"C6","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",166.950000,-71.475000,270.000000,top
"C7","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",166.550000,-84.825000,270.000000,top
"C8","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",153.200000,-52.400000,180.000000,top
"D2","C2297","D_0805_2012Metric_Castellated",120.400000,-72.862500,90.000000,top
"D3","19-217/GHC-YR1S2/3T","D_0603_1608Metric",123.500000,-73.387500,90.000000,top
"IC1","HX711","SOIC-16_3.9x9.9mm_P1.27mm",157.800000,-58.800000,0.000000,top
"J1","Conn_01x03_Female","PinSocket_1x03_P2.54mm_Vertical",125.000000,-56.270000,0.000000,top
"J2","Conn_01x03_Female","PinSocket_1x03_P2.54mm_Vertical",168.475001,-89.325001,0.000000,top
"J3","Conn_01x03_Female","PinSocket_1x03_P2.54mm_Vertical",170.000000,-74.000000,0.000000,top
"J4","Conn_01x03_Female","PinSocket_1x03_P2.54mm_Vertical",166.000000,-57.000000,90.000000,top
"Q1","MMBT3906","SOT-23",131.100000,-72.700000,90.000000,top
"Q2","MMBT2222A","SOT-23",131.100000,-78.500000,0.000000,top
"R1","75","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",126.100000,-78.625000,270.000000,top
"R2","300","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",131.225000,-93.800000,180.000000,top
"R3","300","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",131.200000,-69.600000,180.000000,top
"R4","1K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",131.025000,-75.400000,180.000000,top
"R5","1K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",128.100000,-78.575000,270.000000,top
"R6","1K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",128.875001,-58.765001,0.000000,top
"R7","10Meg","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",142.575000,-61.700000,180.000000,top
"R8","10Meg","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",142.600000,-63.600000,180.000000,top
"R9","1K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",145.600000,-62.700000,270.000000,top
"R10","10Meg","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",146.375000,-74.300000,180.000000,top
"R11","10Meg","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",146.375000,-76.100000,180.000000,top
"R12","10Meg","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",146.725000,-87.100000,180.000000,top
"R13","10Meg","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",146.725000,-89.100000,180.000000,top
"R14","1K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",149.150000,-75.175000,270.000000,top
"R15","1K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",149.600000,-88.100000,270.000000,top
"R16","100","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",148.475000,-61.600000,180.000000,top
"R17","100","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",148.475000,-63.600000,180.000000,top
"R18","100","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",152.175000,-74.200000,180.000000,top
"R19","100","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",152.175000,-76.200000,180.000000,top
"R20","100","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",152.400000,-87.200000,180.000000,top
"R21","100","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",152.425000,-89.000000,180.000000,top
"R22","100","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",167.925000,-61.900000,0.000000,top
"R23","100","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",168.025000,-63.900000,0.000000,top
"R24","1K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",171.000000,-62.925000,270.000000,top
"R25","10Meg","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",173.900000,-62.000000,0.000000,top
"R26","10Meg","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",173.925000,-64.000000,0.000000,top
"U1","REF3020","SOT-23",131.100000,-84.300000,90.000000,top
"U2","TL431DBZ","SOT-23",131.200000,-91.000000,180.000000,top
"U3","AQW282SX","SO-4_4.4x4.3mm_P2.54mm",133.000000,-62.430000,0.000000,top
"U4","HX710B","SOP-8_3.9x4.9mm_P1.27mm",161.475000,-73.365000,0.000000,top
"U5","HX710C","SOP-8_3.9x4.9mm_P1.27mm",160.300000,-86.400000,0.000000,top
