Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
U1,REF3020,SOT-23,155.950000,-69.200000,180,top
U2,TL431DBZ,SOT-23,149.250000,-69.300000,270,top
U3,KAQY212S,SO-4_4.4x4.3mm_P2.54mm,142.100000,-70.300000,90,top
U4,LP5907MFX-3.3,SOT-23-5,128.400000,-67.600000,90,top
U5,HX710C,SOP-8_3.9x4.9mm_P1.27mm,135.925000,-92.375000,270,top
U6,KAQY212S,SO-4_4.4x4.3mm_P2.54mm,135.400000,-77.750000,90,top
U7,HX710C,SOP-8_3.9x4.9mm_P1.27mm,155.425000,-79.175000,270,top
U8,PI120,SOIC-8_3.9x4.9mm_P1.27mm,168.000000,-66.000000,90,top
U9,PI121,SOIC-8_3.9x4.9mm_P1.27mm,167.825000,-80.375000,270,top
U10,PI121,SOIC-8_3.9x4.9mm_P1.27mm,149.525000,-93.575000,270,top
