Ref,Val,Package,PosX,PosY,Rot,Side
"C1","470nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",155.875000,-66.400000,0.000000,top
"C2","1uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",129.325000,-64.800000,180.000000,top
"C3","1uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",129.425000,-70.600000,180.000000,top
"C4","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",130.725000,-94.175000,90.000000,top
"C5","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",150.525000,-80.350000,90.000000,top
"C6","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",149.550000,-76.975000,180.000000,top
"C7","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",140.750000,-90.800000,270.000000,top
"C8","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",132.350000,-88.575000,180.000000,top
"C9","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",170.700000,-71.225000,90.000000,top
"C10","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",162.825000,-77.600000,270.000000,top
"C11","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",165.400000,-70.625000,90.000000,top
"C12","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",171.375000,-75.900000,180.000000,top
"C13","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",155.150000,-90.775000,270.000000,top
"C14","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",160.700000,-77.600000,270.000000,top
"C15","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",144.750000,-90.800000,270.000000,top
"J1","battery","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",130.250000,-61.100000,180.000000,top
"J2","DB9_Female","DSUB-TH_DS1037-09FNAKT74-0CC",116.730000,-83.580000,180.000000,top
"J3","Conn_01x04_Female","PinSocket_1x04_P2.54mm_Vertical",175.000000,-71.000000,180.000000,top
"J4","Conn_01x04_Female","PinSocket_1x04_P2.54mm_Vertical",174.950000,-78.500000,0.000000,top
"J5","Conn_01x04_Female","PinSocket_1x04_P2.54mm_Vertical",159.000000,-89.300000,0.000000,top
"R2","300","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",146.450000,-69.325000,90.000000,top
"R5","100K_0.1%","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",130.525000,-85.400000,0.000000,top
"R6","1K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",144.400000,-65.300000,180.000000,top
"R7","1K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",136.700000,-71.450000,90.000000,top
"R8","1K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",134.100000,-71.450000,90.000000,top
"R9","1M_0.1%","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",139.300000,-79.237500,90.000000,top
"R10","1M_0.1%","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",129.912500,-80.300000,180.000000,top
"R11","5K_0.1%","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",130.475000,-82.800000,180.000000,top
"R12","75K_0.1%","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",135.525000,-82.800000,180.000000,top
"R13","1M_0.1%","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",140.687500,-83.200000,180.000000,top
"R14","100","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",147.650000,-79.575000,180.000000,top
"R16","100","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",147.650000,-81.375000,180.000000,top
"R20","100","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",128.025000,-93.175000,180.000000,top
"R21","100","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",128.050000,-94.975000,180.000000,top
"U1","REF3020","SOT-23",155.950000,-69.200000,0.000000,top
"U2","TL431DBZ","SOT-23",149.250000,-69.300000,90.000000,top
"U3","KAQY212S","SO-4_4.4x4.3mm_P2.54mm",142.100000,-70.300000,270.000000,top
"U4","LP5907MFX-3.3","SOT-23-5",128.400000,-67.600000,270.000000,top
"U5","HX710C","SOP-8_3.9x4.9mm_P1.27mm",135.925000,-92.375000,0.000000,top
"U6","KAQY212S","SO-4_4.4x4.3mm_P2.54mm",135.400000,-77.750000,270.000000,top
"U7","HX710C","SOP-8_3.9x4.9mm_P1.27mm",155.425000,-79.175000,0.000000,top
"U8","PI120","SOIC-8_3.9x4.9mm_P1.27mm",168.000000,-66.000000,180.000000,top
"U9","PI121","SOIC-8_3.9x4.9mm_P1.27mm",167.825000,-80.375000,0.000000,top
"U10","PI121","SOIC-8_3.9x4.9mm_P1.27mm",149.525000,-93.575000,0.000000,top
