Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,220nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,150.600000,-83.000000,90.000000,top
C2,1uF_0805_50V,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,152.700000,-81.075000,270.000000,top
C3,4.7uF_0805_25V,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,138.600000,-83.700000,90.000000,top
C4,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,150.100000,-77.500000,0.000000,top
D1,MBR0540,D_SOD-123,148.900000,-80.000000,180.000000,top
D2,BZT52Bxx,D_SOD-123,153.100000,-86.100000,180.000000,top
FL1,EMI_Filter_LL,LL_FILTER-SMD_4P-L9.2-W6.0-TL,131.000000,-83.500000,0.000000,top
J1,USB_C_KoreanHroparts_6P,USB-C-KoreanHroparts,120.500000,-83.800000,180,top
J2,A2001WV-2P,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,123.000000,-70.700000,90,top
J3,Conn_01x02_Female,PinSocket_1x02_P2.54mm_Vertical,155.200000,-60.500000,270,top
J4,A2001WV-2P,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,155.300000,-64.500000,180,top
J6,Conn_01x03_Female,PinSocket_1x03_P2.54mm_Vertical,131.000000,-59.200000,180,top
J7,A1001WV-S-04P,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,135.300000,-65.500000,90.000000,top
L1,10uH,IND-SMD_L4.7-W4.7,143.400000,-83.300000,90.000000,top
R1,1,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,149.500000,-86.400000,270.000000,top
R2,390,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,139.400000,-58.500000,90.000000,top
R3,1,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,153.100000,-70.900000,270.000000,top
R4,4.99K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,140.400000,-67.500000,90.000000,top
R5,4.99K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,143.400000,-67.400000,90.000000,top
U1,TPS61165,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,147.930000,-83.430000,180.000000,top
U2,KAQY212A,SMD-4_L4.6-W6.4-P2.54-LS10.0-BR,146.800000,-58.900000,180.000000,top
U3,INA219AxD,SOIC-8_3.9x4.9mm_P1.27mm,148.100000,-73.800000,270,top
