Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7uF_1206_50V","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",164.750000,-104.750000,0.000000,top
"C2","10uF_1206_50V","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",166.750000,-112.262500,90.000000,top
"C3","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",159.000000,-112.650000,270.000000,top
"C4","10nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",160.800000,-112.650000,270.000000,top
"C5","100uF","CP_EIA-3528-12_Kemet-T",154.762500,-108.250000,0.000000,top
"C6","1uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",149.750000,-110.125000,90.000000,top
"C7","1uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",149.750000,-114.625000,90.000000,top
"C8","1uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",142.750000,-114.750000,90.000000,top
"C9","1uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",142.750000,-110.375000,90.000000,top
"C25","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",166.625000,-99.750000,0.000000,top
"C26","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",162.250000,-99.450000,180.000000,top
"J1","JST_SH_Conn_01x04_i2c_horizontal","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",133.300000,-108.250000,270.000000,top
"J2","JST_SH_Conn_01x04_i2c_horizontal","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",133.300000,-98.950000,270.000000,top
"J3","JST_SH_Conn_01x04_i2c_horizontal","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",133.400000,-90.100000,270.000000,top
"J4","A1001WV-S-04P","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",171.750000,-88.250000,90.000000,top
"J5","A1001WV-S-04P","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",171.750000,-96.380000,90.000000,top
"J6","JST_SH_Conn_01x04_i2c_horizontal","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",133.500000,-81.150000,270.000000,top
"J7","Conn_01x06_SPI","JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal",159.150000,-78.850000,180.000000,top
"J9","MMCX","MMCX_JLC",133.550000,-115.450000,0.000000,top
"L1","6.8uH","L_1210_3225Metric_Pad1.42x2.65mm_HandSolder",164.750000,-107.750000,180.000000,top
"PS1","B0305S-1WR2","Converter_DCDC_muRata_CRE1xxxxxx3C_THT",169.750000,-105.750000,0.000000,top
"Q1","BC847C","SOT-23",154.350000,-114.650000,0.000000,top
"R1","1K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",154.375000,-111.750000,180.000000,top
"R5","4.7K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",157.750000,-94.750000,0.000000,top
"R6","4.7K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",158.675000,-97.800000,90.000000,top
"R18","4.7K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",166.450000,-88.350000,180.000000,top
"R19","4.7K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",166.575000,-86.750000,180.000000,top
"U1","LP5907MFX-3.3","SOT-23-5",145.750000,-114.860000,180.000000,top
"U2","LP5907MFX-3.3","SOT-23-5",145.850000,-110.200000,180.000000,top
"U8","ISO1541","SOIC-8_3.9x4.9mm_P1.27mm",163.750000,-95.750000,180.000000,top
