"Comment","Designator","Footprint","LCSC"
"100nF","C8, C9, C11, C17, C18, C27, ","Capacitor_SMD:C_0402_1005Metric","C1525"
"1uF","C10, ","Capacitor_SMD:C_0402_1005Metric","C126521"
"ADS112C04IPWR","IC2, ","Package_SO:TSSOP-16_4.4x5mm_P0.65mm",""
"Conn_01x04","J1, ","Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal","C371571"
"JST_SH_Conn_01x04_i2c_horizontal","J2, ","Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal","C371571"
"Conn_01x01_Female","J3, ","Connector_PinSocket_2.54mm:PinSocket_1x01_P2.54mm_Vertical",""
"Jumper_NO_Small","JP1, JP2, ","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm",""
"Jumper_3_Open","JP9, JP12, JP13, JP14, ","Jumper:SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm",""
"MMZ2012Y202B ","L2, ","Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C76811"
"MountingHole","MH1, MH2, MH3, MH4, ","MountingHole:MountingHole_2.2mm_M2_Pad_Via",""
"10K","R1, R2, ","Resistor_SMD:R_0603_1608Metric_Pad1.05x0.95mm_HandSolder","C25804"
"47","R3, R4, ","Resistor_SMD:R_0402_1005Metric","C25168"
"10K 0.1%","R13, ","Resistor_SMD:R_0402_1005Metric","C328415"
"100K","R14, R15, ","Resistor_SMD:R_0402_1005Metric","C25741"
"1K","R23, ","Resistor_SMD:R_0402_1005Metric","C11702"
