Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,112.550000,-105.575000,270.000000,top
C2,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,112.550000,-110.275000,270.000000,top
C3,1uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,114.250000,-107.775000,270.000000,top
C4,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,115.150000,-111.275000,90.000000,top
C5,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,120.575000,-113.550000,0.000000,top
C6,4.7uF_1206_50V,C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,164.750000,-104.750000,0.000000,top
C7,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,117.575000,-115.750000,0.000000,top
C8,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,112.750000,-87.275000,270.000000,top
C9,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,112.750000,-91.975000,270.000000,top
C10,1uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,114.450000,-89.475000,270.000000,top
C11,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,115.350000,-92.975000,90.000000,top
C12,10uF_1206_50V,C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,166.750000,-112.262500,90.000000,top
C13,100uF,CP_EIA-3528-12_Kemet-T,154.762500,-108.250000,0.000000,top
C14,1uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,149.750000,-110.125000,90.000000,top
C15,1uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,149.750000,-114.625000,90.000000,top
C16,1uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,142.750000,-114.750000,90.000000,top
C17,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,120.925000,-95.450000,0.000000,top
C18,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,117.000000,-98.450000,0.000000,top
C19,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,143.275000,-84.450000,0.000000,top
C20,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,138.025000,-84.450000,180.000000,top
C21,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,121.625000,-102.950000,180.000000,top
C22,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,159.000000,-112.650000,270.000000,top
C23,10nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,160.800000,-112.650000,270.000000,top
C24,1uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,142.750000,-110.375000,90.000000,top
C25,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,166.625000,-99.750000,0.000000,top
C26,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,162.250000,-99.450000,180.000000,top
C27,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,121.225000,-84.450000,180.000000,top
D1,BAT60B,D_SOD-323,150.050000,-94.650000,180.000000,top
D2,BAT60B,D_SOD-323,160.750000,-103.750000,90.000000,top
IC1,ADS112C04IPWR,TSSOP-16_4.4x5mm_P0.65mm,118.950000,-108.450000,270.000000,top
IC2,ADS112C04IPWR,TSSOP-16_4.4x5mm_P0.65mm,119.150000,-90.150000,270.000000,top
J1,DB9_Female_MountingHoles,DB9_ASSMANN,104.013000,-105.791000,270.000000,top
J4,A1001WV-S-04P,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,171.750000,-88.250000,90,top
J5,A1001WV-S-04P,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,171.750000,-96.380000,270,top
J6,MMCX,MMCX_JLC,109.450000,-116.450000,0.000000,top
J7,MMCX,MMCX_JLC,109.080000,-81.880000,0.000000,top
J8,A1001WV-S-04P,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,150.150000,-80.250000,90,top
J10,MMCX,MMCX_JLC,138.950000,-119.750000,0.000000,top
L1,"MMZ2012Y202B ",L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,121.375000,-115.975000,180.000000,top
L2,"MMZ2012Y202B ",L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,120.725000,-98.650000,180.000000,top
L3,6.8uH,L_1210_3225Metric_Pad1.42x2.65mm_HandSolder,164.750000,-107.750000,180.000000,top
PS1,B0305S-1WR2,Converter_DCDC_muRata_CRE1xxxxxx3C_THT,169.750000,-105.750000,90,top
Q1,BC847C,SOT-23,154.350000,-114.650000,180,top
R1,dnf,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,110.000000,-86.250000,0.000000,top
R2,4.7K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,146.550000,-80.125000,90.000000,top
R3,dnf,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,109.775000,-100.250000,180.000000,top
R4,4.7K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,153.750000,-80.925000,90.000000,top
R5,4.7K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,157.750000,-94.750000,0.000000,top
R6,4.7K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,158.675000,-97.800000,90.000000,top
R7,10K 0.1%,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,109.750000,-104.550000,0.000000,top
R8,100K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,109.736000,-106.550000,180.000000,top
R9,100K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,109.768000,-109.300000,180.000000,top
R10,4.7K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,132.150000,-82.325000,90.000000,top
R11,4.7K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,135.150000,-82.325000,90.000000,top
R12,R,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,106.950000,-105.150000,90.000000,top
R13,10K 0.1%,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,109.968000,-95.500000,0.000000,top
R14,100K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,109.936000,-88.250000,180.000000,top
R15,100K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,109.968000,-91.000000,180.000000,top
R16,1M_0.1%,R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,115.862500,-103.150000,180.000000,top
R17,1K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,154.375000,-111.750000,180.000000,top
R18,4.7K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,166.450000,-88.350000,180.000000,top
R19,4.7K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,166.575000,-90.150000,180.000000,top
R20,1K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,122.225000,-101.050000,180.000000,top
R21,R,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,106.950000,-96.050000,90.000000,top
R22,1M_0.1%,R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,114.437500,-95.850000,180.000000,top
R23,1K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,121.240000,-82.730000,180.000000,top
U1,LP5907MFX-3.3,SOT-23-5,145.750000,-114.860000,0,top
U2,ADUM1250,SOIC-8_3.9x4.9mm_P1.27mm,140.150000,-80.450000,90,top
U7,LP5907MFX-3.3,SOT-23-5,145.850000,-110.200000,0,top
U8,ISO1541,SOIC-8_3.9x4.9mm_P1.27mm,163.750000,-95.750000,90,top
