Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,108.000000,-88.000000,180.000000,top
C2,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,119.300000,-89.200000,270.000000,top
J1,JST-B2B-PH,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,114.400000,-98.200000,180,top
J2,JST-B2B-PH,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,129.600000,-74.100000,0,top
J3,JST-B2B-PH,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,119.100000,-74.100000,0,top
J4,JST-B2B-PH,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,108.500000,-74.000000,0,top
J5,JST-B2B-PH,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,97.800000,-74.000000,0,top
J6,Conn_01x05_Male,PinHeader_1x05_P2.54mm_Horizontal,133.200000,-101.200000,0,top
J7,JST-B2B-PH,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,87.000000,-74.000000,0,top
J8,JST-B2B-PH,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,76.000000,-74.000000,0,top
U1,BH2221FV,SSOP-20_4.4x6.5mm_P0.65mm,114.250000,-85.020000,270,top
