Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",108.500000,-73.400000,270.000000,top
"C2","4.7uF_1206_50V","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",133.800000,-80.000000,0.000000,top
"C3","10uF_1206_50V","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",134.900000,-88.000000,90.000000,top
"C4","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",132.700000,-87.400000,270.000000,top
"C5","10nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",130.800000,-87.375000,270.000000,top
"C6","100uF","CP_EIA-3528-12_Kemet-T",127.600000,-83.800000,90.000000,top
"C7","1uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",121.700000,-91.100000,180.000000,top
"C9","1uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",118.700000,-87.900000,270.000000,top
"C11","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",134.800000,-77.000000,0.000000,top
"C12","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",127.900000,-77.100000,0.000000,top
"C25","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",133.900000,-67.700000,0.000000,top
"C26","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",127.700000,-67.700000,0.000000,top
"J1","JST_SH_Conn_01x04_i2c_horizontal","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",91.400000,-64.500000,270.000000,top
"J2","JST_SH_Conn_01x04_i2c_horizontal","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",91.500000,-72.800000,270.000000,top
"J3","JST_SH_Conn_01x04_i2c_horizontal","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",91.500000,-81.300000,270.000000,top
"J4","JST_SH_Conn_01x04_i2c_horizontal","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",91.500000,-89.700000,270.000000,top
"J6","JST_SH_Conn_01x04_i2c_horizontal","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",140.300000,-65.000000,90.000000,top
"J7","MMCX","MMCX_JLC",114.000000,-87.000000,0.000000,top
"J8","JST_SH_Conn_01x04_i2c_horizontal","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",140.400000,-74.000000,90.000000,top
"L1","6.8uH","L_1210_3225Metric_Pad1.42x2.65mm_HandSolder",133.600000,-83.500000,180.000000,top
"PS1","B0305S-1WR2","Converter_DCDC_muRata_CRE1xxxxxx3C_THT",138.000000,-81.400000,0.000000,top
"Q1","BC847C","SOT-23",126.000000,-88.400000,0.000000,top
"R1","1K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",129.000000,-88.400000,90.000000,top
"U1","4052","TSSOP-16_4.4x5mm_P0.65mm",103.300000,-77.100000,0.000000,top
"U2","LP5907MFX-3.3","SOT-23-5",121.610000,-88.110000,90.000000,top
"U4","PI120","SOIC-8_3.9x4.9mm_P1.27mm",131.300000,-73.100000,180.000000,top
"U8","PI122","SOIC-8_3.9x4.9mm_P1.27mm",131.200000,-64.000000,180.000000,top
